label,youtubeid,spilt
tango_dancing,dYNeW0Kr1dQ_000188_000198,train
hugging,8nTmcUCnF_U_000355_000365,train
building_shed,z4AxcMph3FU_000113_000123,train
whistling,QxcQzeMabRo_000061_000071,train
pushing_wheelchair,QtVukD3Rj5I_000048_000058,train
baking_cookies,GQbL07KKnJE_000232_000242,train
side_kick,o-xBblGA57k_000000_000010,train
sharpening_knives,L9H64yD5O4k_000173_000183,train
peeling_apples,iAG84d3CO6U_000001_000011,train
juggling_soccer_ball,SYJsdMSMVgM_000047_000057,train
reading_book,C90F6d4KhjY_000103_000113,train
making_pizza,dSpK_1FBGGo_000147_000157,train
cutting_watermelon,CWPcarBknCk_000125_000135,train
arranging_flowers,9vH64fDYQ1E_000007_000017,train
pull_ups,sm-OfN1CnV8_000023_000033,train
swimming_backstroke,nIu1SfjOZfg_000370_000380,train
pushing_wheelchair,aX9Kevn0t40_000004_000014,train
windsurfing,utDbXWcTUIM_000056_000066,train
stretching_leg,C2tMt-sdIY0_000005_000015,train
building_shed,-5o8iLZXPNg_000173_000183,train
clay_pottery_making,RLLB-Kh_XQA_000055_000065,train
swinging_legs,pv0flEdDhPI_000012_000022,train
feeding_goats,XigCnKJb2b4_000014_000024,train
deadlifting,ZTAaH5XbtfE_000002_000012,train
catching_or_throwing_baseball,znV8fvabdy8_000021_000031,train
playing_squash_or_racquetball,jvfefDdWSDg_000338_000348,train
side_kick,HZV3t_66kSk_000008_000018,train
waxing_legs,YMi8ocq50q8_000095_000105,train
blowing_glass,hOYp9LXQkBg_000006_000016,train
playing_cricket,g6oNDIaY2oY_000114_000124,train
doing_nails,68nx1D3M5ZQ_000091_000101,train
using_remote_controller_(not_gaming),gWtzwCn99RQ_000025_000035,train
using_segway,9l3rCRTte0Q_000007_000017,train
tickling,lbY8L8mIS50_000011_000021,train
eating_spaghetti,UZlO1z5VdKE_000098_000108,train
skipping_rope,v7STMNqcIo0_000164_000174,train
tap_dancing,eEH4GUQ_Fq8_000096_000106,train
petting_cat,5htr2p1BPRg_000051_000061,train
playing_cards,LF6kw_ZFq30_000024_000034,train
sharpening_pencil,k5d-OE_aiOs_000287_000297,train
carving_pumpkin,87Pw1e1vW8w_000126_000136,train
playing_trombone,bP53EA8t0-Q_000008_000018,train
rock_scissors_paper,snMjcYwNc-I_000001_000011,train
catching_or_throwing_softball,0eTmEksJUY0_000002_000012,train
testifying,EPOdjmkwqiA_000340_000350,train
eating_burger,liVhP-ynSVM_000066_000076,train
playing_keyboard,qPQpKO8tACY_000022_000032,train
laying_bricks,KVoV4Oq0lKA_000366_000376,train
capoeira,NHmsP6WBTMw_000000_000010,train
tasting_food,YbKVBvOfH2o_000340_000350,train
juggling_balls,Q-9vMpzo4D8_000022_000032,train
playing_recorder,WGHCfyB0fDU_000018_000028,train
yoga,zuF756kEU_8_000002_000012,train
peeling_apples,c4S5sbKcA64_000000_000010,train
massaging_person's_head,pPQW3tALq6A_000323_000333,train
dying_hair,tWnS_LqBPWE_000706_000716,train
playing_organ,qYlsYFATOxs_000075_000085,train
clay_pottery_making,bJNzYMEKuY4_000029_000039,train
snowkiting,N2JJ7BEywA4_000509_000519,train
bouncing_on_trampoline,rm70NuVtNE0_000007_000017,train
petting_animal_(not_cat),5rFQBeUTa70_000014_000024,train
petting_cat,1rRNNOo3J-A_000006_000016,train
pumping_gas,XhDnfAi8M-Q_000002_000012,train
playing_harmonica,LbhTrj63PrA_000000_000010,train
picking_fruit,39yZgXIp-C0_000252_000262,train
tossing_salad,6u3jEXOesL4_000018_000028,train
pumping_gas,6AjkdEOdv1g_000001_000011,train
feeding_fish,bSBuwO1k328_000000_000010,train
arranging_flowers,i9PDHOHUfGI_000032_000042,train
lunge,iLctx6YX6k0_000000_000010,train
arranging_flowers,uJ6P6N9mQG4_000045_000055,train
skiing_crosscountry,AxJnO-xr39c_000119_000129,train
sailing,oAgQ_L84x4A_000007_000017,train
contact_juggling,YseFFxmtQic_000269_000279,train
drinking_beer,l8wX0y1Rs5M_000027_000037,train
dodgeball,LLlZRhg6rVw_000001_000011,train
carrying_baby,x9Ubs-xG-Mg_000022_000032,train
capoeira,QnvGNNk7Z0w_000024_000034,train
playing_cymbals,SK28iVnPkJ0_000854_000864,train
skiing_slalom,pcyhBZxXUkM_000002_000012,train
clapping,ZYCa_Zme2cg_000009_000019,train
tossing_salad,-HLcbff_gMk_000273_000283,train
frying_vegetables,7mUA19YWpNE_000110_000120,train
crossing_river,uwmYoa94WUg_000003_000013,train
training_dog,1Ej6qnd_J8k_000111_000121,train
slapping,lEp6ePuiTHI_000004_000014,train
playing_harmonica,Wy96R1Bykl8_000004_000014,train
playing_clarinet,OMCl7VJV0bo_000042_000052,train
moving_furniture,B4Vf0-R0xD8_000018_000028,train
long_jump,3QMlcGRUIBc_000003_000013,train
hockey_stop,uqNTWxqPDDM_000007_000017,train
singing,1bI8pGLBagY_000227_000237,train
spinning_poi,CX-n20njImQ_000013_000023,train
digging,uSW47OvejQE_000013_000023,train
skydiving,fY4ke9cb2ng_000232_000242,train
faceplanting,_qCddTPdl3E_000133_000143,train
driving_tractor,IwpTacUp0HI_000029_000039,train
sniffing,IDTdK7fGTMw_000082_000092,train
playing_poker,QjrXJbNpPSI_000493_000503,train
grooming_horse,NnwMf2Noxmg_000109_000119,train
golf_putting,uZZtblfFjC8_000018_000028,train
cooking_egg,jiEmvVp4jDs_000083_000093,train
playing_basketball,EKXZhg_lp7Y_000004_000014,train
feeding_birds,DiOIAZoVfWA_000069_000079,train
contact_juggling,K1VSQYZovnU_000386_000396,train
tai_chi,oUFP8qKAJMo_000002_000012,train
tobogganing,IIBnvMx5UyQ_000014_000024,train
shining_shoes,0Of2mXv5WoI_000017_000027,train
applying_cream,MNYoRmI09SU_000050_000060,train
bungee_jumping,ExsyckAA1_o_000035_000045,train
cleaning_toilet,RgnmtOVHV3I_000043_000053,train
deadlifting,IPQaW6vO8c4_000065_000075,train
punching_person_(boxing),22QFjCFEmag_000017_000027,train
applauding,ZVVMBDrLzAU_000564_000574,train
bungee_jumping,TWC_IqJcd6c_000085_000095,train
cooking_chicken,CTiM-_JdMP4_000130_000140,train
making_bed,yGyVXVs71t0_000028_000038,train
kissing,OuapLZUQ7FI_000026_000036,train
hopscotch,IhqGbPQaqDU_000006_000016,train
pumping_fist,PeewIER65OU_000019_000029,train
sweeping_floor,gO-mfrt7hYg_000359_000369,train
carving_pumpkin,suA9QG7BhrY_000006_000016,train
dribbling_basketball,u6uq-NRjVyk_000087_000097,train
unboxing,K8H-BV_k--k_000027_000037,train
throwing_ball,758JyVwGp0k_000041_000051,train
shot_put,fPSCjYRPXH4_000004_000014,train
dodgeball,mtRH-Z4yflY_000014_000024,train
pumping_fist,T2lDWuCK308_000000_000010,train
playing_tennis,nrCOw_b4JVY_000024_000034,train
playing_volleyball,BItPADczHTQ_000127_000137,train
snorkeling,vgQD4cYK3wE_000090_000100,train
washing_hands,lyn0Imxjau0_000000_000010,train
shearing_sheep,VJNxkS3Rj3g_000123_000133,train
folding_napkins,ubGBzD8PJFE_000141_000151,train
bobsledding,wSBSuIYBhb8_000070_000080,train
opening_bottle,AHAPRkTY-QE_000125_000135,train
pushing_car,WY-hE2dwPY8_000013_000023,train
doing_nails,wVOdjKuTGQo_000180_000190,train
extinguishing_fire,IKWlGD1caCk_000007_000017,train
drinking,iVDGSMvlwQM_000749_000759,train
skydiving,jQVK26q6sEM_000218_000228,train
jogging,So1fln9Q7aI_000008_000018,train
watering_plants,N8faWgAYpho_000002_000012,train
playing_controller,0octJDt2Nsg_000462_000472,train
eating_hotdog,cbrJ-4HifWw_000007_000017,train
trapezing,rRhHKdcxqUM_000017_000027,train
juggling_fire,TEXR35k308k_000090_000100,train
situp,_SYBd_Ew9qM_000002_000012,train
riding_mountain_bike,mHaOq9OBkuQ_000002_000012,train
barbequing,QVzhyD0Td8c_000000_000010,train
krumping,EO2qz1K_FHU_000190_000200,train
playing_didgeridoo,YakC_I4_LD8_000038_000048,train
playing_keyboard,ULaP-PcXrKc_000000_000010,train
pull_ups,TFnUJsWpu_0_000028_000038,train
pushing_car,zLKPSdvEpiE_000010_000020,train
playing_trumpet,mO8ZongSYLA_000003_000013,train
slapping,e2X2wM23qOQ_000023_000033,train
front_raises,tRUycIxm1TE_000081_000091,train
playing_flute,6m1X2fiFMNc_000042_000052,train
arranging_flowers,81FTRBhs-0w_000014_000024,train
krumping,0OFE-Ics0YU_000020_000030,train
drinking,BwNUu8AC_po_000288_000298,train
blowing_leaves,SZyCiTfuSNE_000040_000050,train
shuffling_cards,gAJvo5gpKM4_000167_000177,train
parkour,X0oTT_-bMCc_000032_000042,train
making_bed,tGNLKpZTnok_000051_000061,train
abseiling,G5TxM5aTvhU_000032_000042,train
shuffling_cards,4T4lCXa5Xjg_000100_000110,train
answering_questions,_VZSPmNqglE_000014_000024,train
reading_book,G2f-XZfE3gY_000077_000087,train
cartwheeling,cr8n825bOJk_000000_000010,train
finger_snapping,zrQDJ8DKdW8_000003_000013,train
making_jewelry,XkdQs3Xwq3Q_000179_000189,train
dancing_ballet,vNpcPa0Z9Bo_000346_000356,train
washing_hands,cJbteWYHozo_000003_000013,train
swimming_butterfly_stroke,Q7u8Bn6Sffw_000013_000023,train
tossing_coin,KrIxtV9kCiI_000003_000013,train
canoeing_or_kayaking,Mmh6R4Sc3x8_000002_000012,train
making_bed,DNspjMsDNAM_000076_000086,train
tying_knot_(not_on_a_tie),wJlLxrYC1jM_000148_000158,train
shooting_goal_(soccer),mx0kbgZWgfw_000012_000022,train
robot_dancing,MX9iuu4nuyM_000061_000071,train
applauding,DdA4JI94RAY_000098_000108,train
massaging_legs,x1wSaPOjXjo_000066_000076,train
skipping_rope,taEnhbs3zGQ_000426_000436,train
skipping_rope,kNN0HbBEJm4_000072_000082,train
playing_paintball,AV8h7x4khW4_000006_000016,train
situp,xxwTddzXEGU_000024_000034,train
getting_a_tattoo,DIPQbY_hOU4_000024_000034,train
eating_doughnuts,yfFt0SELKtk_000101_000111,train
dancing_gangnam_style,dR1Z3sAyuSs_000003_000013,train
finger_snapping,cf7z4H48XSQ_000000_000010,train
scrambling_eggs,MPxa0irXmyo_000107_000117,train
grinding_meat,FPB3eaq2SE4_000000_000010,train
brushing_teeth,OJblntpJY7g_000022_000032,train
laughing,f2-yEeyGzyg_000045_000055,train
playing_harmonica,SO0cRAoa_LA_000128_000138,train
sneezing,bQ5KL-a19KU_000000_000010,train
playing_bass_guitar,JtuS8eiTBr8_000037_000047,train
finger_snapping,zn9FyYsh3NI_000000_000010,train
tying_knot_(not_on_a_tie),u1HpiavNoHE_000000_000010,train
faceplanting,Bivq2l6kbcs_000004_000014,train
abseiling,DrbcRsdFN7c_000002_000012,train
blowing_nose,23C3nsyHAKE_000001_000011,train
grooming_dog,LvSgwu_KkFU_000032_000042,train
rock_scissors_paper,bfNJZ-H0XSs_000002_000012,train
swimming_breast_stroke,yVqUvXnVthg_000090_000100,train
dancing_ballet,NRXui6FRcnI_000160_000170,train
taking_a_shower,wtWkfpnlgIY_000013_000023,train
snowboarding,PPvGN6vsIRM_000197_000207,train
grooming_horse,9ranms9M8vY_000334_000344,train
playing_squash_or_racquetball,GjZbmBXxTBw_000330_000340,train
jumping_into_pool,OtvpnQffL1A_000073_000083,train
ski_jumping,FK8UxhHPSLQ_000066_000076,train
frying_vegetables,Cs3wfuLR4CE_000004_000014,train
climbing_a_rope,_Hbt-79A9o0_000059_000069,train
swimming_breast_stroke,RXMWSmT93I0_000044_000054,train
eating_burger,2KadJ3JNKOE_000250_000260,train
pushing_cart,LLNu-CIY0PU_000035_000045,train
bending_metal,ODiQjwKO2_Q_000372_000382,train
clapping,0eXyQUqHepI_000000_000010,train
cleaning_pool,FEUBBzJHXNc_000000_000010,train
shooting_basketball,4WEfpAs_n3c_000000_000010,train
extinguishing_fire,gjK3VAs_AH8_000016_000026,train
riding_mountain_bike,PSqeJkomC8k_000041_000051,train
hoverboarding,XxKzoXR4z-M_000202_000212,train
bowling,9k4vVvwBzGc_000002_000012,train
grooming_dog,1_eaX56n8TI_000028_000038,train
brushing_teeth,cvZF8ceu3Vk_000041_000051,train
slapping,XwAdjV2ACOs_000026_000036,train
squat,3_EvaENFaXI_000002_000012,train
windsurfing,RtlAuK8Z554_000007_000017,train
sled_dog_racing,dLZ69rsuM3o_000014_000024,train
biking_through_snow,cTlm9AXDDew_000356_000366,train
dancing_macarena,AGsxb9Hgww8_000209_000219,train
sweeping_floor,NhCDUzq-rHU_000090_000100,train
paragliding,tAkv0QgdEMI_000628_000638,train
surfing_crowd,a_2Zid1Jpus_000007_000017,train
squat,8OahutYFjiE_000009_000019,train
cooking_chicken,1HFvq6KKj0g_000335_000345,train
